,CCI,/cci_items/cci_item/definition,Note,Parameter,index
9057,CCI-003138,"The organization employs organization-defined processes, methods, and techniques to monitor security control compliance by external service providers on an ongoing basis.",,,SA-9 
9059,CCI-003139,"The organization defines processes, methods, and techniques to employ to monitor security control compliance by external service providers on an ongoing basis.",,,SA-9 
9061,CCI-003140,The organization conducts an organizational assessment of risk prior to the acquisition or outsourcing of dedicated information security services.,,,SA-9  (1) ()
9063,CCI-003141,The organization ensures that the acquisition or outsourcing of dedicated information security services is approved by organization-defined personnel or roles.,,,SA-9 (1) ()
9065,CCI-003142,The organization defines the personnel or roles authorized to approve the acquisition or outsourcing of dedicated information security services.,,,SA-9 (1) ()
9067,CCI-003143,"The organization requires providers of organization-defined external information system services to identify the functions, ports, protocols, and other services required for the use of such services.",,,SA-9 (2)
9069,CCI-003144,"The organization defines the external information system services for which the providers are required to identify the functions, ports, protocols, and other services required for the use of such services.",,,SA-9 (2)
9071,CCI-003145,"The organization establishes trust relationships with external service providers based on organization-defined security requirements, properties, factors, or conditions defining acceptable trust relationships.",,,SA-9 (3)
9073,CCI-003146,"The organization documents trust relationships with external service providers based on organization-defined security requirements, properties, factors, or conditions defining acceptable trust relationships.",,,SA-9 (3)
9075,CCI-003147,"The organization maintains trust relationships with external service providers based on organization-defined security requirements, properties, factors, or conditions defining acceptable trust relationships.",,,SA-9 (3)
9077,CCI-003148,"The organization defines security requirements, properties, factors, or conditions defining acceptable trust relationships with external service providers.",,,SA-9 (3)
9079,CCI-003149,The organization employs organization-defined security safeguards to ensure that the interests of organization-defined external service providers are consistent with and reflect organizational interests.,,,SA-9 (4)
9081,CCI-003150,The organization defines security safeguards to employ to ensure that the interests of organization-defined external service providers are consistent with and reflect organizational interests.,,,SA-9 (4)
9083,CCI-003151,The organization defines external service providers whose interests are consistent with and reflect organizational interests.,,,SA-9 (4)
9085,CCI-003152,"The organization restricts the location of information processing, information/data, and/or information system services to organization-defined locations based on organization-defined requirements or conditions.",,,SA-9 (5)
9087,CCI-003153,"The organization defines the locations for which to restrict information processing, information/data, and/or information system services based on organization-defined requirements or conditions.",,,SA-9 (5)
9089,CCI-003154,"The organization defines the requirements or conditions on which to base restricting the location of information processing, information/data, and/or information system services to organization-defined locations.",,,SA-9 (5)
9091,CCI-002377,The organization documents the system and communications protection policy.,,,SC-1  1
9093,CCI-002378,The organization defines the personnel or roles to be recipients of the system and communications protection policy.,,,SC-1  1
9095,CCI-002379,The organization documents procedures to facilitate the implementation of the system and communications protection policy and associated system and communications protection controls.,,,SC-1  2
9097,CCI-002380,The organization defines the personnel or roles to be recipients of the procedures to facilitate the implementation of the system and communications protection policy and associated system and communications protection controls.,,,SC-1  2
9099,CCI-002426,The information system provides a trusted communications path that is logically isolated and distinguishable from other paths.,,,SC-11 (1)
9101,CCI-002428,The organization defines the requirements for cryptographic key generation to be employed within the information system.,,,SC-12
9103,CCI-002429,The organization defines the requirements for cryptographic key distribution to be employed within the information system.,,,SC-12
9105,CCI-002430,The organization defines the requirements for cryptographic key storage to be employed within the information system.,,,SC-12
9107,CCI-002431,The organization defines the requirements for cryptographic key access to be employed within the information system.,,,SC-12
9109,CCI-002432,The organization defines the requirements for cryptographic key destruction to be employed within the information system.,,,SC-12
9111,CCI-002433,The organization establishes cryptographic keys for required cryptography employed within the information system in accordance with organization-defined requirements for key generation.,,,SC-12
9113,CCI-002434,The organization establishes cryptographic keys for required cryptography employed within the information system in accordance with organization-defined requirements for key distribution.,,,SC-12
9115,CCI-002435,The organization establishes cryptographic keys for required cryptography employed within the information system in accordance with organization-defined requirements for key storage.,,,SC-12
9117,CCI-002436,The organization establishes cryptographic keys for required cryptography employed within the information system in accordance with organization-defined requirements for key access.,,,SC-12
9119,CCI-002437,The organization establishes cryptographic keys for required cryptography employed within the information system in accordance with organization-defined requirements for key destruction.,,,SC-12
9121,CCI-002438,The organization manages cryptographic keys for required cryptography employed within the information system in accordance with organization-defined requirements for key generation.,,,SC-12
9123,CCI-002439,The organization manages cryptographic keys for required cryptography employed within the information system in accordance with organization-defined requirements for key distribution.,,,SC-12
9125,CCI-002440,The organization manages cryptographic keys for required cryptography employed within the information system in accordance with organization-defined requirements for key storage.,,,SC-12
9127,CCI-002441,The organization manages cryptographic keys for required cryptography employed within the information system in accordance with organization-defined requirements for key access.,,,SC-12
9129,CCI-002442,The organization manages cryptographic keys for required cryptography employed within the information system in accordance with organization-defined requirements for key destruction.,,,SC-12
9131,CCI-002443,The organization produces symmetric cryptographic keys using NIST FIPS-compliant or NSA-approved key management technology and processes.,,,SC-12 (2)
9133,CCI-002444,The organization controls symmetric cryptographic keys using NIST FIPS-compliant or NSA-approved key management technology and processes.,,,SC-12 (2)
9135,CCI-002445,The organization distributes symmetric cryptographic keys using NIST FIPS-compliant or NSA-approved key management technology and processes.,,,SC-12 (2)
9137,CCI-002446,The organization produces asymmetric cryptographic keys using: NSA-approved key management technology and processes; approved PKI Class 3 certificates or prepositioned keying material; or approved PKI Class 3 or Class 4 certificates and hardware security tokens that protect the user's private key.,,,SC-12 (3)
9139,CCI-002447,The organization controls asymmetric cryptographic keys using: NSA-approved key management technology and processes; approved PKI Class 3 certificates or prepositioned keying material; or approved PKI Class 3 or Class 4 certificates and hardware security tokens that protect the user's private key.,,,SC-12 (3)
9141,CCI-002448,The organization distributes asymmetric cryptographic keys using: NSA-approved key management technology and processes; approved PKI Class 3 certificates or prepositioned keying material; or approved PKI Class 3 or Class 4 certificates and hardware security tokens that protect the user's private key.,,,SC-12 (3)
9143,CCI-002449,"The organization defines the cryptographic uses, and type of cryptography required for each use, to be implemented by the information system.",,,SC-13
9145,CCI-002450,"The information system implements organization-defined cryptographic uses and type of cryptography required for each use in accordance with applicable federal laws, Executive Orders, directives, policies, regulations, and standards.",,,SC-13
9147,CCI-002451,The organization defines the information systems or information system components from which collaborative computing devices in organization-defined secure work areas are to be disabled or removed.,,,SC-15 (3)
9149,CCI-002452,The organization defines the online meetings and teleconferences for which the information system provides an explicit indication of current participants.,,,SC-15 (4)
9151,CCI-002453,The information system provides an explicit indication of current participants in organization-defined online meetings and teleconferences.,,,SC-15 (4)
9153,CCI-002454,The organization defines the security attributes the information system is to associate with the information being exchanged between information systems and between information system components.,,,SC-16
9155,CCI-002455,The information system associates organization-defined security attributes with information exchanged between information system components.,,,SC-16
9157,CCI-002456,The organization defines the certificate policy employed to issue public key certificates.,,,SC-17
9159,CCI-002457,The organization defines the corrective actions to be taken when organization-defined unacceptable mobile code is identified.,,,SC-18 (1)
9161,CCI-002458,The organization defines what constitutes unacceptable mobile code for its information systems.,,,SC-18 (1)
9163,CCI-002459,The organization defines the unacceptable mobile code of which the information system is to prevent download and execution.,,,SC-18 (3)
9165,CCI-002460,The information system enforces organization-defined actions prior to executing mobile code.,,,SC-18 (4)
9167,CCI-002461,The organization allows execution of permitted mobile code only in confined virtual machine environments.,,,SC-18 (5)
9169,CCI-002462,The information system provides additional data integrity verification artifacts along with the authoritative name resolution data the system returns in response to external name/address resolution queries.,,,SC-20 
9171,CCI-002463,The information system provides data origin artifacts for internal name/address resolution queries.,,,SC-20 (2)
9173,CCI-002464,The information system provides data integrity protection artifacts for internal name/address resolution queries.,,,SC-20 (2)
9175,CCI-002465,The information system requests data origin authentication verification on the name/address resolution responses the system receives from authoritative sources.,,,SC-21
9177,CCI-002466,The information system requests data integrity verification on the name/address resolution responses the system receives from authoritative sources.,,,SC-21
9179,CCI-002467,The information system performs data integrity verification on the name/address resolution responses the system receives from authoritative sources.,,,SC-21
9181,CCI-002468,The information system performs data origin verification authentication on the name/address resolution responses the system receives from authoritative sources.,,,SC-21
9183,CCI-002469,The organization defines the certificate authorities the information system will allow to be used on the information system.,,,SC-23 (5)
9185,CCI-002470,The information system only allows the use of organization-defined certificate authorities for verification of the establishment of protected sessions.,,,SC-23 (5)
9187,CCI-002471,"The organization defines the information system components, with minimal functionality and information storage, to be employed.",,,SC-25
9189,CCI-002472,The organization defines the information at rest that is to be protected by the information system.,,,SC-28
9191,CCI-002473,The organization defines the information at rest for which cryptographic mechanisms will be implemented.,,,SC-28 (1)
9193,CCI-002474,The organization defines the information system components which require the implementation of cryptographic mechanisms to prevent unauthorized disclosure and modification of organization-defined information at rest.,,,SC-28 (1)
9195,CCI-002475,The information system implements cryptographic mechanisms to prevent unauthorized modification of organization-defined information at rest on organization-defined information system components.,,,SC-28 (1)
9197,CCI-002476,The information system implements cryptographic mechanisms to prevent unauthorized disclosure of organization-defined information at rest on organization-defined information system components.,,,SC-28 (1)
9199,CCI-002477,The organization defines the information at rest to be removed from online storage and stored in an off-line secure location.,,,SC-28 (2)
9201,CCI-002478,The organization removes organization-defined information at rest from online storage.,,,SC-28 (2)
9203,CCI-002479,The organization stores organization-defined information at rest in an off-line secure location.,,,SC-28 (2)
9205,CCI-002480,The organization defines the information system components for which a diverse set of information technologies are to be employed.,,,SC-29
9207,CCI-002481,The organization employs virtualization techniques to support the deployment of a diversity of applications that are changed per organization-defined frequency.,,,SC-29 (1)
9209,CCI-002381,The organization minimizes the number of nonsecurity functions included within the isolation boundary containing security functions.,,,SC-3 (3)
9211,CCI-002382,The organization implements security functions as largely independent modules that maximize internal cohesiveness within modules and minimize coupling between modules.,,,SC-3 (4)
9213,CCI-002482,The organization defines the concealment and misdirection techniques employed for organization-defined information systems to confuse and mislead adversaries.,,,SC-30
9215,CCI-002483,The organization defines the information systems for which organization-defined concealment and misdirection techniques are to be employed.,,,SC-30
9217,CCI-002484,The organization defines the time periods at which it will employ organization-defined concealment and misdirection techniques on organization-defined information systems.,,,SC-30
9219,CCI-002485,The organization employs organization-defined concealment and misdirection techniques for organization-defined information systems at organization-defined time periods to confuse and mislead adversaries.,,,SC-30
9221,CCI-002486,The organization defines the techniques to be employed to introduce randomness into organizational operations and assets.,,,SC-30 (2)
9223,CCI-002487,The organization employs organization-defined techniques to introduce randomness into organizational operations.,,,SC-30 (2)
9225,CCI-002488,The organization employs organization-defined techniques to introduce randomness into organizational assets.,,,SC-30 (2)
9227,CCI-002489,The organization defines the processing and/or storage locations to be changed at random intervals or at an organization-defined frequency.,,,SC-30 (3)
9229,CCI-002490,The organization defines the frequency at which it changes the location of organization-defined processing and/or storage.,,,SC-30 (3)
9231,CCI-002491,The organization changes the location of organization-defined processing and/or storage at an organization-defined time frequency or at random time intervals.,,,SC-30 (3)
9235,CCI-002493,The organization defines the information system components in which it will employ realistic but misleading information regarding its security state or posture.,,,SC-30 (4)
9237,CCI-002494,"The organization employs realistic, but misleading, information in organization-defined information system components with regard to its security state or posture.",,,SC-30 (4)
9239,CCI-002495,The organization defines the techniques to be employed to hide or conceal organization-defined information system components.,,,SC-30 (5)
9241,CCI-002496,The organization defines the information system components to be hidden or concealed.,,,SC-30 (5)
9243,CCI-002497,The organization employs organization-defined techniques to hide or conceal organization-defined information system components.,,,SC-30 (5)
9245,CCI-002498,The organization performs a covert channel analysis to identify those aspects of communications within the information system that are potential avenues for covert storage and/or timing channels.,,,SC-31 
9247,CCI-002499,The organization estimates the maximum bandwidth of the covert storage and timing channels.,,,SC-31 
9249,CCI-002500,The organization defines the maximum bandwidth values to which covert storage and/or timing channels are to be reduced.,,,SC-31 (2)
9251,CCI-002501,The organization reduces the maximum bandwidth for identified covert storage and/or timing channels to organization-defined values.,,,SC-31 (2)
9253,CCI-002502,The organization defines the subset of identified covert channels in the operational environment of the information system that are to have the bandwidth measured.,,,SC-31 (3)
9255,CCI-002503,The organization measures the bandwidth of an organization-defined subset of identified covert channels in the operational environment of the information system.,,,SC-31 (3)
9257,CCI-002504,The organization defines the information system components into which the information system is partitioned.,,,SC-32
9259,CCI-002505,The organization defines the circumstances under which the information system components are to be physically separated to support partitioning.,,,SC-32
9261,CCI-002506,The organization partitions the information system into organization-defined information system components residing in separate physical domains or environments based on organization-defined circumstances for physical separation of components.,,,SC-32
9263,CCI-002507,The organization controls read-only media after information has been recorded onto the media.,,,SC-34 (2)
9265,CCI-002508,"The organization defines the information system firmware components for which hardware-based, write-protect is employed.",,,SC-34 (3) ()
9267,CCI-002509,"The organization employs hardware-based, write-protect for organization-defined information system firmware components.",,,SC-34 (3) ()
9269,CCI-002510,"The organization defines the individuals authorized to manually disable hardware-based, write-protect for firmware modifications and re-enable the write-protect prior to returning to operational mode.",,,SC-34 (3) ()
9271,CCI-002511,"The organization implements specific procedures for organization-defined authorized individuals to manually disable hardware-based, write-protect for firmware modifications.",,,SC-34 (3) ()
9273,CCI-002512,The organization implements specific procedures for organization-defined authorized individuals to manually re-enable hardware write-protect prior to returning to operational mode.,,,SC-34 (3) ()
9275,CCI-002513,The organization defines the processing that is to be distributed across multiple physical locations.,,,SC-36
9277,CCI-002514,The organization defines the storage that is to be distributed across multiple physical locations.,,,SC-36
9279,CCI-002515,The organization distributes organization-defined processing across multiple physical locations.,,,SC-36
9281,CCI-002516,The organization distributes organization-defined storage across multiple physical locations.,,,SC-36
9283,CCI-002517,"The organization defines the distributed processing components that are to be polled to identify potential faults, errors, or compromises.",,,SC-36 (1)
9285,CCI-002518,"The organization defines the distributed storage components that are to be polled to identify potential faults, errors, or compromises.",,,SC-36 (1)
9287,CCI-002519,"The organization employs polling techniques to identify potential faults, errors, or compromises to organization-defined distributed processing components.",,,SC-36 (1)
9289,CCI-002520,"The organization employs polling techniques to identify potential faults, errors, or compromises to organization-defined distributed storage components.",,,SC-36 (1)
9291,CCI-002521,"The organization defines the out-of-band channels to be employed for the physical delivery or electronic transmission of organization-defined information, information system components, or devices.",,,SC-37
9293,CCI-002522,"The organization defines the information, information system components, or devices that are to be electronically transmitted or physically delivered via organization-defined out-of-band channels.",,,SC-37
9295,CCI-002523,"The organization defines the individuals or information systems authorized to be recipients of organization-defined information, information system components, or devices to be delivered by employing organization-defined out-of-band channels for electronic transmission or physical delivery.",,,"SC-37, SC-37 (1)"
9297,CCI-002524,"The organization employs organization-defined out-of-band channels for the electronic transmission or physical delivery of organization-defined information, information system components, or devices to organization-defined individuals or information systems.",,,SC-37
9299,CCI-002525,"The organization defines the security safeguards to be employed to ensure only organization-defined individuals or information systems receive organization-defined information, information system components, or devices.",,,SC-37 (1)
9301,CCI-002526,"The organization defines the information, information system components, or devices which are to be received only by organization-defined individuals or information systems.",,,SC-37 (1)
9303,CCI-002527,"The organization employs organization-defined security safeguards to ensure only organization-defined individuals or information systems receive the organization-defined information, information system components, or devices.",,,SC-37 (1)
9305,CCI-002528,The organization defines the operations security safeguards to be employed to protect key organizational information throughout the system development life cycle.,,,SC-38
9307,CCI-002529,The organization employs organization-defined operations security safeguards to protect key organizational information throughout the system development life cycle.,,,SC-38
9309,CCI-002530,The information system maintains a separate execution domain for each executing process.,,,SC-39
9311,CCI-002531,The information system implements underlying hardware separation mechanisms to facilitate process separation.,,,SC-39 (1)
9313,CCI-002532,The organization defines the multi-threaded processing in which a separate execution domain is maintained by the information system for each thread.,,,SC-39 (2)
9315,CCI-002533,The information system maintains a separate execution domain for each thread in organization-defined multi-threaded processing.,,,SC-39 (2)
9317,CCI-002383,The organization defines the procedures to be employed to prevent unauthorized information transfer via shared resources when system processing explicitly switches between different information classification levels or security categories.,,,SC-4 (2)
9319,CCI-002384,The information system prevents unauthorized information transfer via shared resources in accordance with organization-defined procedures when system processing explicitly switches between different information classification levels or security categories.,,,SC-4 (2)
9321,CCI-002534,The organization defines types of signal parameter attacks or references to sources for such attacks from which the information system protects organization-defined wireless links.,,,SC-40
9323,CCI-002535,The organization defines the external and internal wireless links the information system is to protect from organization-defined types of signal parameter attacks or references to sources for such attacks.,,,SC-40
9325,CCI-002536,The information system protects organization-defined external and internal wireless links from organization-defined types of signal parameter attacks or references to sources for such attacks.,,,SC-40
9327,CCI-002537,The organization defines the level of protection against the effects of intentional electromagnetic interference to be achieved by implemented cryptographic mechanisms.,,,SC-40 (1)
9329,CCI-002538,The information system implements cryptographic mechanisms that achieve an organization-defined level of protection against the effects of intentional electromagnetic interference.,,,SC-40 (1)
9331,CCI-002539,The organization defines the level of reduction the information system is to implement to reduce the detection potential of wireless links.,,,SC-40 (2)
9333,CCI-002540,The information system implements cryptographic mechanisms to reduce the detection potential of wireless links to an organization-defined level of reduction.,,,SC-40 (2)
9335,CCI-002541,The information system implements cryptographic mechanisms to identify and reject wireless transmissions that are deliberate attempts to achieve imitative or manipulative communications deception based on signal parameters.,,,SC-40 (3)
9337,CCI-002542,The organization defines the wireless transmitters that are to have cryptographic mechanisms implemented by the information system to prevent the identification of the wireless transmitters.,,,SC-40 (4)
9339,CCI-002543,The information system implements cryptographic mechanisms to prevent the identification of organization-defined wireless transmitters by using the transmitter signal parameters.,,,SC-40 (4)
9341,CCI-002544,The organization defines the information systems or information system components on which organization-defined connection ports or input/output devices are to be physically disabled or removed.,,,SC-41
9343,CCI-002545,The organization defines the connection ports or input/output devices that are to be physically disabled or removed from organization-defined information systems or information system components.,,,SC-41
9345,CCI-002546,The organization physically disables or removes organization-defined connection ports or input/output devices on organization-defined information systems or information system components.,,,SC-41
9347,CCI-002547,The organization defines the exceptions where remote activation of sensors is allowed.,,,SC-42 
9349,CCI-002548,The information system prohibits the remote activation of environmental sensing capabilities except for the organization-defined exceptions where remote activation of sensors is allowed.,,,SC-42 
9351,CCI-002549,The organization defines the class of users to receive explicit indication of sensor use.,,,SC-42 
9353,CCI-002550,The information system provides an explicit indication of sensor use to the organization-defined class of users.,,,SC-42 
9355,CCI-002551,The organization defines the sensors to be configured so that collected data or information is reported only to authorized individuals or roles.,,,SC-42 (1)
9357,CCI-002552,The organization ensures that the information system is configured so that data or information collected by the organization-defined sensors is only reported to authorized individuals or roles.,,,SC-42 (1)
9359,CCI-002553,The organization defines the measures to be employed to ensure data or information collected by organization-defined sensors is used only for authorized purposes.,,,SC-42 (2)
9361,CCI-002554,The organization defines the sensors that are to collect data or information for authorized purposes.,,,SC-42 (2)
9363,CCI-002555,"The organization employs organization-defined measures, so that data or information collected by organization-defined sensors is only used for authorized purposes.",,,SC-42 (2)
9365,CCI-002556,"The organization defines the environmental sensing capabilities prohibited on devices used in organization-defined facilities, areas, or systems.",,,SC-42 (3)
9367,CCI-002557,"The organization defines the facilities, areas, or systems where devices processing organization-defined environmental sensing capabilities are prohibited.",,,SC-42 (3)
9369,CCI-002558,"The organization prohibits the use of devices possessing organization-defined environmental sensing capabilities in organization-defined facilities, areas, or systems.",,,SC-42 (3)
9371,CCI-002559,The organization defines the information system components for which usage restrictions and implementation guidance are to be established.,,,SC-43 
9373,CCI-002560,The organization establishes usage restrictions and implementation guidance for organization-defined information system components based on the potential to cause damage to the information system if used maliciously.,,,SC-43 
9375,CCI-002561,The organization authorizes the use of organization-defined information system components which have the potential to cause damage to the information system if used maliciously.,,,SC-43 
9377,CCI-002562,The organization monitors the use of organization-defined information system components which have the potential to cause damage to the information system if used maliciously.,,,SC-43 
9379,CCI-002563,The organization controls the use of organization-defined information system components which have the potential to cause damage to the information system if used maliciously.,,,SC-43 
9381,CCI-002564,"The organization defines the information system, system component, or location where a detonation chamber (i.e., dynamic execution environments) capability is employed.",,,SC-44
9383,CCI-002565,"The organization employs a detonation chamber (i.e., dynamic execution environments) capability within an organization-defined information system, system component, or location.",,,SC-44
9385,CCI-002385,The information system protects against or limits the effects of organization-defined types of denial of service attacks by employing organization-defined security safeguards.,,,SC-5
9387,CCI-002386,"The organization defines the security safeguards to be employed to protect the information system against, or limit the effects of, denial of service attacks.",,,SC-5
9389,CCI-002387,The organization defines the denial of service attacks against other information systems that the information system is to restrict the ability of individuals to launch.,,,SC-5 (1)
9391,CCI-002388,The organization defines a list of monitoring tools to be employed to detect indicators of denial of service attacks against the information system.,,,SC-5 (3) ()
9393,CCI-002389,The organization employs an organization-defined list of monitoring tools to detect indicators of denial of service attacks against the information system.,,,SC-5 (3) ()
9395,CCI-002390,The organization defines the information system resources to be monitored to determine if sufficient resources exist to prevent effective denial of service attacks.,,,SC-5 (3) ()
9397,CCI-002391,The organization monitors organization-defined information system resources to determine if sufficient resources exist to prevent effective denial of service attacks.,,,SC-5 (3) ()
9399,CCI-002392,The organization defines the resources to be allocated to protect the availability of information system resources.,,,SC-6
9401,CCI-002393,The organization defines the security safeguards to be employed to protect the availability of information system resources.,,,SC-6
9403,CCI-002394,"The information system protects the availability of resources by allocating organization-defined resources based on priority, quota, and/or organization-defined security safeguards.",,,SC-6
9405,CCI-002395,The information system implements subnetworks for publicly accessible system components that are physically and/or logically separated from internal organizational networks.,,,SC-7 
9407,CCI-002396,The organization protects the confidentiality and integrity of the information being transmitted across each interface for each external telecommunication service.,,,SC-7 (4) ()
9409,CCI-002397,"The information system, in conjunction with a remote device, prevents the device from simultaneously establishing non-remote connections with the system and communicating via some other connection to resources in external networks.",,,SC-7 (7)
9411,CCI-002398,The information system detects outgoing communications traffic posing a threat to external information systems.,,,SC-7 (9) ()
9413,CCI-002399,The information system denies outgoing communications traffic posing a threat to external information systems.,,,SC-7 (9) ()
9415,CCI-002400,The information system audits the identity of internal users associated with denied outgoing communications traffic posing a threat to external information systems.,,,SC-7 (9) ()
9417,CCI-002401,The organization defines the authorized sources from which the information system will allow incoming communications.,,,SC-7 (11)
9419,CCI-002402,The organization defines the authorized destinations for routing inbound communications.,,,SC-7 (11)
9421,CCI-002403,The information system only allows incoming communications from organization-defined authorized sources routed to organization-defined authorized destinations.,,,SC-7 (11)
9423,CCI-002404,The organization defines the host-based boundary protection mechanisms that are to be implemented at organization-defined information system components.,,,SC-7 (12)
9425,CCI-002405,The organization defines the information system components at which organization-defined host-based boundary protection mechanisms will be implemented.,,,SC-7 (12)
9427,CCI-002406,The organization implements organization-defined host-based boundary protection mechanisms at organization-defined information system components.,,,SC-7 (12)
9429,CCI-002407,The organization defines the managed interfaces at which the organization protects against unauthorized physical connections.,,,SC-7 (14)
9431,CCI-002408,"The organization defines the independently configured communication clients, which are configured by end users and external service providers, between which the information system will block both inbound and outbound communications traffic.",,,SC-7 (19)
9433,CCI-002409,The information system blocks both inbound and outbound communications traffic between organization-defined communication clients that are independently configured by end users and external service providers.,,,SC-7 (19)
9435,CCI-002410,The organization defines information system components that are to be dynamically isolated/segregated from other components of the information system.,,,SC-7 (20)
9437,CCI-002411,The information system provides the capability to dynamically isolate/segregate organization-defined information system components from other components of the system.,,,SC-7 (20)
9439,CCI-002412,The organization defines the information system components supporting organization-defined missions and/or business functions that are to be separated using boundary protection mechanisms.,,,SC-7 (21)
9443,CCI-002414,The organization defines the missions and/or business functions for which boundary protection mechanisms will be employed to separate the supporting organization-defined information system components.,,,SC-7 (21)
9445,CCI-002415,The organization employs boundary protection mechanisms to separate organization-defined information system components supporting organization-defined missions and/or business functions.,,,SC-7 (21)
9447,CCI-002416,"The information system implements separate network addresses (i.e., different subnets) to connect to systems in different security domains.",,,SC-7 (22)
9449,CCI-002417,The information system disables feedback to senders on protocol format validation failure.,,,SC-7 (23)
9451,CCI-002418,The information system protects the confidentiality and/or integrity of transmitted information.,,,SC-8
9454,CCI-002419,The organization defines the alternative physical safeguards to be employed when cryptographic mechanisms are not implemented to protect information during transmission.,,,SC-8 (1)
9456,CCI-002420,The information system maintains the confidentiality and/or integrity of information during preparation for transmission.,,,SC-8 (2)
9458,CCI-002421,The information system implements cryptographic mechanisms to prevent unauthorized disclosure of information and/or detect changes to information during transmission unless otherwise protected by organization-defined alternative physical safeguards.,,,SC-8 (1)
9460,CCI-002422,The information system maintains the confidentiality and/or integrity of information during reception.,,,SC-8 (2)
9462,CCI-002423,"The information system implements cryptographic mechanisms to protect message externals (e.g., message headers and routing information) unless otherwise protected by organization-defined alternative physical safeguards.",,,SC-8 (3)
9464,CCI-002424,The organization defines the alternative physical safeguards to be employed when cryptographic mechanisms are not implemented by the information system.,,,SC-8 (4)
9466,CCI-002425,The information system implements cryptographic mechanisms to conceal or randomize communication patterns unless otherwise protected by organization-defined alternative physical safeguards.,,,SC-8 (4)
9468,CCI-002427,"The organization defines the alternative physical safeguards to be employed to protect message externals (e.g., message headers and routing information) when cryptographic mechanisms are not implemented.",,,SC-8 (3)
9470,CCI-003544,"The organization defines the frequency on which it will update the inventory that contains a listing of all programs and information systems identified as collecting, using, maintaining, or sharing personally identifiable information (PII).",,,SE-1 
9472,CCI-003545,"The organization establishes an inventory that contains a listing of all programs identified as collecting, using, maintaining, or sharing personally identifiable information (PII).",,,SE-1 
9474,CCI-003546,"The organization establishes an inventory that contains a listing of all information systems identified as collecting, using, maintaining, or sharing personally identifiable information (PII).",,,SE-1 
9476,CCI-003547,"The organization maintains an inventory that contains a listing of all programs identified as collecting, using, maintaining, or sharing personally identifiable information (PII).",,,SE-1 
9478,CCI-003548,"The organization maintains an inventory that contains a listing of all information systems identified as collecting, using, maintaining, or sharing personally identifiable information (PII).",,,SE-1 
9480,CCI-003549,"The organization updates, per organization-defined frequency, an inventory that contains a listing of all programs identified as collecting, using, maintaining, or sharing personally identifiable information (PII).",,,SE-1 
9482,CCI-003550,"The organization updates, per organization-defined frequency, an inventory that contains a listing of all information systems identified as collecting, using, maintaining, or sharing personally identifiable information (PII).",,,SE-1 
9484,CCI-003551,The organization defines the frequency for providing each update of the personally identifiable information (PII) inventory to the CIO or information security official.,,,SE-1 
9486,CCI-003552,"The organization provides each update of the personally identifiable information (PII) inventory to the CIO or information security official, per organization-defined frequency, to support the establishment of information security requirements for all new or modified information systems containing PII.",,,SE-1 
9488,CCI-003553,The organization develops a Privacy Incident Response Plan.,,,SE-2 
9490,CCI-003554,The organization implements a Privacy Incident Response Plan.,,,SE-2 
9492,CCI-003555,The organization provides an organized and effective response to privacy incidents in accordance with the organizational Privacy Incident Response Plan.,,,SE-2 
9494,CCI-002601,The organization defines the personnel or roles to whom the system and information integrity policy and procedures are to be disseminated.,,,SI-1 
9496,CCI-002744,The organization defines the inputs on which the information system is to conduct validity checks.,,,SI-10
9498,CCI-002745,The organization defines the inputs for which the information system provides a manual override capability for input validation.,,,SI-10 (1) ()
9500,CCI-002746,The information system provides a manual override capability for input validation of organization-defined inputs.,,,SI-10 (1) ()
9502,CCI-002747,The organization defines the individuals who have the authorization to use the manual override capability for input validation.,,,SI-10 (1) ()
9504,CCI-002748,The information system restricts the use of the manual override capability to only organization-defined authorized individuals.,,,SI-10 (1) ()
9506,CCI-002749,The information system audits the use of the manual override capability.,,,SI-10 (1) ()
9508,CCI-002750,The organization defines the time period within which input validation errors are to be reviewed.,,,SI-10 (2)
9510,CCI-002751,The organization defines the time period within which input validation errors are to be resolved.,,,SI-10 (2)
9512,CCI-002752,The organization ensures that input validation errors are reviewed within an organization-defined time period.,,,SI-10 (2)
9514,CCI-002753,The organization ensures that input validation errors are resolved within an organization-defined time period.,,,SI-10 (2)
9516,CCI-002754,The information system behaves in a predictable and documented manner that reflects organizational and system objectives when invalid inputs are received.,,,SI-10 (3)
9519,CCI-002755,The organization accounts for timing interactions among information system components in determining appropriate responses for invalid inputs.,,,SI-10 (4)
9522,CCI-002756,"The organization defines the trusted sources to which the usage of information inputs will be restricted (e.g., whitelisting).",,,SI-10 (5)
9524,CCI-002757,The organization defines the acceptable formats to which information inputs are restricted.,,,SI-10 (5)
9526,CCI-002758,The organization restricts the use of information inputs to organization-defined trusted sources and/or organization-defined formats.,,,SI-10 (5)
9528,CCI-002759,The organization defines the personnel or roles to whom error messages are to be revealed.,,,SI-11 
9530,CCI-002760,The organization determines mean time to failure (MTTF) for organization-defined information system components in specific environments of operation.,,,SI-13 
9532,CCI-002761,The organization defines the system components in specific environments of operation for which the mean time to failure (MTTF) is to be determined.,,,SI-13 
9534,CCI-002762,The organization defines the mean time to failure (MTTF) substitution criteria to be employed as a means to determine the need to exchange active and standby components.,,,SI-13 
