,FAMILY,NAME,TITLE,PRIORITY,BASELINE-IMPACT,DESCRIPTION,SUPPLEMENTAL GUIDANCE,RELATED,ccis
1209,SYSTEM AND SERVICES ACQUISITION,SA-11 (1),STATIC CODE ANALYSIS,,,"The organization requires the developer of the information system, system component, or information system service to employ static code analysis tools to identify common flaws and document the results of the analysis.","Static code analysis provides a technology and methodology for security reviews. Such analysis can be used to identify security vulnerabilities and enforce security coding practices. Static code analysis is most effective when used early in the development process, when each code change can be automatically scanned for potential weaknesses. Static analysis can provide clear remediation guidance along with defects to enable developers to fix such defects. Evidence of correct implementation of static analysis can include, for example, aggregate defect density for critical defect types, evidence that defects were inspected by developers or security professionals, and evidence that defects were fixed. An excessively high density of ignored findings (commonly referred to as ignored or false positives) indicates a potential problem with the analysis process or tool. In such cases, organizations weigh the validity of the evidence against evidence from other sources.",,"CCI-000712 The organization requires information system developers to employ code analysis tools to examine software for common flaws and document the results of the analysis. CCI-000713 The organization requires information system integrators to employ code analysis tools to examine software for common flaws and document the results of the analysis. CCI-003179 The organization requires the developer of the information system, system component, or information system service to employ static code analysis tools to identify common flaws. CCI-003180 The organization requires the developer of the information system, system component, or information system service to document the results of static code analysis."
1210,SYSTEM AND SERVICES ACQUISITION,SA-11 (2),THREAT AND VULNERABILITY ANALYSES,,,"The organization requires the developer of the information system, system component, or information system service to perform threat and vulnerability analyses and subsequent testing/evaluation of the as-built system, component, or service.","Applications may deviate significantly from the functional and design specifications created during the requirements and design phases of the system development life cycle. Therefore, threat and vulnerability analyses of information systems, system components, and information system services prior to delivery are critical to the effective operation of those systems, components, and services. Threat and vulnerability analyses at this phase of the life cycle help to ensure that design or implementation changes have been accounted for, and that any new vulnerabilities created as a result of those changes have been reviewed and mitigated.","PM-15,RA-5","CCI-000714 The organization requires information system developers to perform a vulnerability analysis to document vulnerabilities. CCI-000715 The organization requires information system developers to perform a vulnerability analysis to document exploitation potential. CCI-000716 The organization requires information system developers to perform a vulnerability analysis to document risk mitigations. CCI-000717 The organization requires information system integrators to perform a vulnerability analysis to document vulnerabilities. CCI-000718 The organization requires information system integrators to perform a vulnerability analysis to document exploitation potential. CCI-000719 The organization requires information system integrators perform a vulnerability analysis to document risk mitigations. CCI-003181 The organization requires the developer of the information system, system component, or information system service to perform threat and vulnerability analysis. CCI-003182 The organization requires the developer of the information system, system component, or information system service to perform testing/evaluation of the as-built system, component, or service subsequent to threat and vulnerability analysis."
1211,SYSTEM AND SERVICES ACQUISITION,SA-11 (3),INDEPENDENT VERIFICATION OF ASSESSMENT PLANS / EVIDENCE,,,The organization:,"Independent agents have the necessary qualifications (i.e., expertise, skills, training, and experience) to verify the correct implementation of developer security assessment plans.","AT-3,CA-7,RA-5,SA-12",CCI-000720 The organization requires information system developers implement the security test and evaluation plan under the witness of an independent verification and validation agent. CCI-000721 The organization requires information system integrators to implement the security test and evaluation plan under the witness of an independent verification and validation agent.
1214,SYSTEM AND SERVICES ACQUISITION,SA-11 (4),MANUAL CODE REVIEWS,,,"The organization requires the developer of the information system, system component, or information system service to perform a manual code review of [Assignment: organization-defined specific code] using [Assignment: organization-defined processes, procedures, and/or techniques].","Manual code reviews are usually reserved for the critical software and firmware components of information systems. Such code reviews are uniquely effective at identifying weaknesses that require knowledge of the application???s requirements or context which are generally unavailable to more automated analytic tools and techniques such as static or dynamic analysis. Components benefiting from manual review include for example, verifying access control matrices against application controls and reviewing more detailed aspects of cryptographic implementations and controls.",,"CCI-003187 The organization requires the developer of the information system, system component, or information system service to perform a manual code review of organization-defined specific code using organization-defined processes, procedures, and/or techniques. CCI-003188 The organization defines the specific code for which the developer of the information system, system component, or information system service is required to perform a manual code review using organization-defined process, procedures, and/or techniques. CCI-003189 The organization defines the processes, procedures, and/or techniques to be used by the developer of the information system, system component, or information system service to perform a manual code review of organization-defined specific code."
1215,SYSTEM AND SERVICES ACQUISITION,SA-11 (5),PENETRATION TESTING,,,"The organization requires the developer of the information system, system component, or information system service to perform penetration testing at [Assignment: organization-defined breadth/depth] and with [Assignment: organization-defined constraints].","Penetration testing is an assessment methodology in which assessors, using all available information technology product and/or information system documentation (e.g., product/system design specifications, source code, and administrator/operator manuals) and working under specific constraints, attempt to circumvent implemented security features of information technology products and information systems. Penetration testing can include, for example, white, gray, or black box testing with analyses performed by skilled security professionals simulating adversary actions. The objective of penetration testing is to uncover potential vulnerabilities in information technology products and information systems resulting from implementation errors, configuration faults, or other operational deployment weaknesses or deficiencies. Penetration tests can be performed in conjunction with automated and manual code reviews to provide greater levels of analysis than would ordinarily be possible.",,"CCI-003190 The organization requires the developer of the information system, system component, or information system service to perform penetration testing at an organization-defined breadth/depth and with organization-defined constraints. CCI-003191 The organization defines the breadth/depth at which the developer of the information system, system component, or information system service is required to perform penetration testing. CCI-003192 The organization defines the constraints on penetration testing performed by the developer of the information system, system component, or information system service."
1216,SYSTEM AND SERVICES ACQUISITION,SA-11 (6),ATTACK SURFACE REVIEWS,,,"The organization requires the developer of the information system, system component, or information system service to perform attack surface reviews.","Attack surfaces of information systems are exposed areas that make those systems more vulnerable to cyber attacks. This includes any accessible areas where weaknesses or deficiencies in information systems (including the hardware, software, and firmware components) provide opportunities for adversaries to exploit vulnerabilities. Attack surface reviews ensure that developers: (i) analyze both design and implementation changes to information systems; and (ii) mitigate attack vectors generated as a result of the changes. Correction of identified flaws includes, for example, deprecation of unsafe functions.",,"CCI-003193 The organization requires the developer of the information system, system component, or information system service to perform attack surface reviews."
1217,SYSTEM AND SERVICES ACQUISITION,SA-11 (7),VERIFY SCOPE OF TESTING / EVALUATION,,,"The organization requires the developer of the information system, system component, or information system service to verify that the scope of security testing/evaluation provides complete coverage of required security controls at [Assignment: organization-defined depth of testing/evaluation].",Verifying that security testing/evaluation provides complete coverage of required security controls can be accomplished by a variety of analytic techniques ranging from informal to formal. Each of these techniques provides an increasing level of assurance corresponding to the degree of formality of the analysis. Rigorously demonstrating security control coverage at the highest levels of assurance can be provided by the use of formal modeling and analysis techniques including correlation between control implementation and corresponding test cases.,,"CCI-003194 The organization requires the developer of the information system, system component, or information system service to verify that the scope of security testing/evaluation provides complete coverage of required security controls at an organization-defined depth of testing/evaluation. CCI-003195 The organization defines the depth of testing/evaluation to which the developer of the information system, system component, or information system service is required to verify that the scope of security testing/evaluation provides complete coverage of the required security controls."
1218,SYSTEM AND SERVICES ACQUISITION,SA-11 (8),DYNAMIC CODE ANALYSIS,,,"The organization requires the developer of the information system, system component, or information system service to employ dynamic code analysis tools to identify common flaws and document the results of the analysis.","Dynamic code analysis provides run-time verification of software programs, using tools capable of monitoring programs for memory corruption, user privilege issues, and other potential security problems. Dynamic code analysis employs run-time tools to help to ensure that security functionality performs in the manner in which it was designed. A specialized type of dynamic analysis, known as fuzz testing, induces program failures by deliberately introducing malformed or random data into software programs. Fuzz testing strategies derive from the intended use of applications and the functional and design specifications for the applications. To understand the scope of dynamic code analysis and hence the assurance provided, organizations may also consider conducting code coverage analysis (checking the degree to which the code has been tested using metrics such as percent of subroutines tested or percent of program statements called during execution of the test suite) and/or concordance analysis (checking for words that are out of place in software code such as non-English language words or derogatory terms).",,"CCI-003196 The organization requires the developer of the information system, system component, or information system service to employ dynamic code analysis tools to identify common flaws. CCI-003197 The organization requires the developer of the information system, system component, or information system service to document the results of the dynamic code analysis."
1219,SYSTEM AND SERVICES ACQUISITION,SA-12,SUPPLY CHAIN PROTECTION,P1,HIGH,"The organization protects against supply chain threats to the information system, system component, or information system service by employing [Assignment: organization-defined security safeguards] as part of a comprehensive, defense-in-breadth information security strategy.","Information systems (including system components that compose those systems) need to be protected throughout the system development life cycle (i.e., during design, development, manufacturing, packaging, assembly, distribution, system integration, operations, maintenance, and retirement). Protection of organizational information systems is accomplished through threat awareness, by the identification, management, and reduction of vulnerabilities at each phase of the life cycle and the use of complementary, mutually reinforcing strategies to respond to risk. Organizations consider implementing a standardized process to address supply chain risk with respect to information systems and system components, and to educate the acquisition workforce on threats, risk, and required security controls. Organizations use the acquisition/procurement processes to require supply chain entities to implement necessary security safeguards to: (i) reduce the likelihood of unauthorized modifications at each stage in the supply chain; and (ii) protect information systems and information system components, prior to taking delivery of such systems/components. This control also applies to information system services. Security safeguards include, for example: (i) security controls for development systems, development facilities, and external connections to development systems; (ii) vetting development personnel; and (iii) use of tamper-evident packaging during shipping/warehousing. Methods for reviewing and protecting development plans, evidence, and documentation are commensurate with the security category or classification level of the information system. Contracts may specify documentation protection requirements.","AT-3,CM-8,IR-4,PE-16,PL-8,SA-3,SA-4,SA-8,SA-10,SA-14,SA-15,SA-18,SA-19,SC-29,SC-30,SC-38,SI-7","CCI-000722 The organization defines the security safeguards to employ to protect against supply chain threats to the information system, system component, or information system service. CCI-000723 The organization protects against supply chain threats to the information system, system component, or information system service by employing organization-defined security safeguards as part of a comprehensive, defense-in-breadth information security strategy."
1220,SYSTEM AND SERVICES ACQUISITION,SA-12 (1),ACQUISITION STRATEGIES / TOOLS / METHODS,,,"The organization employs [Assignment: organization-defined tailored acquisition strategies, contract tools, and procurement methods] for the purchase of the information system, system component, or information system service from suppliers.","The use of acquisition and procurement processes by organizations early in the system development life cycle provides an important vehicle to protect the supply chain. Organizations use available all-source intelligence analysis to inform the tailoring of acquisition strategies, tools, and methods. There are a number of different tools and techniques available (e.g., obscuring the end use of an information system or system component, using blind or filtered buys). Organizations also consider creating incentives for suppliers who: (i) implement required security safeguards; (ii) promote transparency into their organizational processes and security practices; (iii) provide additional vetting of the processes and security practices of subordinate suppliers, critical information system components, and services; (iv) restrict purchases from specific suppliers or countries; and (v) provide contract language regarding the prohibition of tainted or counterfeit components. In addition, organizations consider minimizing the time between purchase decisions and required delivery to limit opportunities for adversaries to corrupt information system components or products. Finally, organizations can use trusted/controlled distribution, delivery, and warehousing options to reduce supply chain risk (e.g., requiring tamper-evident packaging of information system components during shipping and warehousing).",SA-19,"CCI-000724 The organization purchases all anticipated information system components and spares in the initial acquisition. CCI-003198 The organization employs organization-defined tailored acquisition strategies, contract tools, and procurement methods for the purchase of the information system, system component, or information system service from suppliers. CCI-003199 The organization defines tailored acquisition strategies, contract tools, and procurement methods to employ for the purchase of the information system, system component, or information system service from suppliers."
1221,SYSTEM AND SERVICES ACQUISITION,SA-12 (2),SUPPLIER REVIEWS,,,"The organization conducts a supplier review prior to entering into a contractual agreement to acquire the information system, system component, or information system service.","Supplier reviews include, for example: (i) analysis of supplier processes used to design, develop, test, implement, verify, deliver, and support information systems, system components, and information system services; and (ii) assessment of supplier training and experience in developing systems, components, or services with the required security capability. These reviews provide organizations with increased levels of visibility into supplier activities during the system development life cycle to promote more effective supply chain risk management. Supplier reviews can also help to determine whether primary suppliers have security safeguards in place and a practice for vetting subordinate suppliers, for example, second- and third-tier suppliers, and any subcontractors.",,"CCI-000725 The organization conducts a due diligence review of suppliers prior to entering into contractual agreements to acquire information system hardware. CCI-000726 The organization conducts a due diligence review of suppliers prior to entering into contractual agreements to acquire information system software. CCI-000727 The organization conducts a due diligence review of suppliers prior to entering into contractual agreements to acquire information system firmware. CCI-000728 The organization conducts a due diligence review of suppliers prior to entering into contractual agreements to acquire information system services. CCI-003200 The organization conducts a supplier review prior to entering into a contractual agreement to acquire the information system, system component, or information system service."
1222,SYSTEM AND SERVICES ACQUISITION,SA-12 (3),TRUSTED SHIPPING AND WAREHOUSING,,,[Withdrawn: Incorporated into SA-12 (1)].,,,CCI-000729 The organization uses trusted shipping for information systems. CCI-000730 The organization uses trusted shipping for information system components. CCI-000731 The organization uses trusted shipping for information technology products. CCI-000732 The organization uses trusted warehousing for information systems. CCI-000733 The organization uses trusted warehousing for information system components. CCI-000734 The organization uses trusted warehousing for information technology products.
1223,SYSTEM AND SERVICES ACQUISITION,SA-12 (4),DIVERSITY OF SUPPLIERS,,,[Withdrawn: Incorporated into SA-12 (13)].,,,CCI-000735 The organization employs a diverse set of suppliers for information systems. CCI-000736 The organization employs a diverse set of suppliers for information system components. CCI-000737 The organization employs a diverse set of suppliers for information technology products. CCI-000738 The organization employs a diverse set of suppliers for information system services.
1224,SYSTEM AND SERVICES ACQUISITION,SA-12 (5),LIMITATION OF HARM,,,The organization employs [Assignment: organization-defined security safeguards] to limit harm from potential adversaries identifying and targeting the organizational supply chain.,"Supply chain risk is part of the advanced persistent threat (APT). Security safeguards and countermeasures to reduce the probability of adversaries successfully identifying and targeting the supply chain include, for example: (i) avoiding the purchase of custom configurations to reduce the risk of acquiring information systems, components, or products that have been corrupted via supply chain actions targeted at specific organizations; (ii) employing a diverse set of suppliers to limit the potential harm from any given supplier in the supply chain; (iii) employing approved vendor lists with standing reputations in industry, and (iv) using procurement carve outs (i.e., exclusions to commitments or obligations).",,CCI-000739 The organization employs standard configurations for information systems. CCI-000740 The organization employs standard configurations for information system components. CCI-000741 The organization employs standard configurations for information technology products. CCI-003201 The organization employs organization-defined security safeguards to limit harm from potential adversaries identifying and targeting the organizational supply chain. CCI-003202 The organization defines security safeguards to employ to limit harm from potential adversaries identifying and targeting the organizational supply chain.
1225,SYSTEM AND SERVICES ACQUISITION,SA-12 (6),MINIMIZING PROCUREMENT TIME,,,[Withdrawn: Incorporated into SA-12 (1)].,,,CCI-000742 The organization minimizes the time between purchase decisions and delivery of information systems. CCI-000743 The organization minimizes the time between purchase decisions and delivery of information system components. CCI-000744 The organization minimizes the time between purchase decisions and delivery of information technology products.
1226,SYSTEM AND SERVICES ACQUISITION,SA-12 (7),ASSESSMENTS PRIOR TO SELECTION / ACCEPTANCE / UPDATE,,,"The organization conducts an assessment of the information system, system component, or information system service prior to selection, acceptance, or update.","Assessments include, for example, testing, evaluations, reviews, and analyses. Independent, third-party entities or organizational personnel conduct assessments of systems, components, products, tools, and services. Organizations conduct assessments to uncover unintentional vulnerabilities and intentional vulnerabilities including, for example, malicious code, malicious processes, defective software, and counterfeits. Assessments can include, for example, static analyses, dynamic analyses, simulations, white, gray, and black box testing, fuzz testing, penetration testing, and ensuring that components or services are genuine (e.g., using tags, cryptographic hash verifications, or digital signatures). Evidence generated during security assessments is documented for follow-on actions carried out by organizations.","CA-2,SA-11","CCI-000745 The organization employs independent analysis and penetration testing against delivered information systems. CCI-000746 The organization employs independent analysis and penetration testing against delivered information system components. CCI-000747 The organization employs independent analysis and penetration testing against delivered information technology products. CCI-003203 The organization conducts an assessment of the information system, system component, or information system service prior to selection, acceptance, or update."
1227,SYSTEM AND SERVICES ACQUISITION,SA-12 (8),USE OF ALL-SOURCE INTELLIGENCE,,,"The organization uses all-source intelligence analysis of suppliers and potential suppliers of the information system, system component, or information system service.","All-source intelligence analysis is employed by organizations to inform engineering, acquisition, and risk management decisions. All-source intelligence consists of intelligence products and/or organizations and activities that incorporate all sources of information, most frequently including human intelligence, imagery intelligence, measurement and signature intelligence, signals intelligence, and open source data in the production of finished intelligence. Where available, such information is used to analyze the risk of both intentional and unintentional vulnerabilities from development, manufacturing, and delivery processes, people, and the environment. This review is performed on suppliers at multiple tiers in the supply chain sufficient to manage risks.",SA-15,"CCI-003205 The organization uses all-source intelligence analysis of suppliers and potential suppliers of the information system, system component, or information system service."
1228,SYSTEM AND SERVICES ACQUISITION,SA-12 (9),OPERATIONS SECURITY,,,"The organization employs [Assignment: organization-defined Operations Security (OPSEC) safeguards] in accordance with classification guides to protect supply chain-related information for the information system, system component, or information system service.","Supply chain information includes, for example: user identities; uses for information systems, information system components, and information system services; supplier identities; supplier processes; security requirements; design specifications; testing and evaluation results; and system/component configurations. This control enhancement expands the scope of OPSEC to include suppliers and potential suppliers. OPSEC is a process of identifying critical information and subsequently analyzing friendly actions attendant to operations and other activities to: (i) identify those actions that can be observed by potential adversaries; (ii) determine indicators that adversaries might obtain that could be interpreted or pieced together to derive critical information in sufficient time to cause harm to organizations; (iii) implement safeguards or countermeasures to eliminate or reduce to an acceptable level, exploitable vulnerabilities; and (iv) consider how aggregated information may compromise the confidentiality of users or uses of the supply chain. OPSEC may require organizations to withhold critical mission/business information from suppliers and may include the use of intermediaries to hide the end use, or users, of information systems, system components, or information system services.",,"CCI-003206 The organization employs organization-defined Operations Security (OPSEC) safeguards in accordance with classification guides to protect supply chain-related information for the information system, system component, or information system service. CCI-003210 The organization defines the Operations Security (OPSEC) safeguards to be employed in accordance with classification guides to protect supply chain-related information for the information system, system component, or information system service."
1229,SYSTEM AND SERVICES ACQUISITION,SA-12 (10),VALIDATE AS GENUINE AND NOT ALTERED,,,The organization employs [Assignment: organization-defined security safeguards] to validate that the information system or system component received is genuine and has not been altered.,"For some information system components, especially hardware, there are technical means to help determine if the components are genuine or have been altered. Security safeguards used to validate the authenticity of information systems and information system components include, for example, optical/nanotechnology tagging and side-channel analysis. For hardware, detailed bill of material information can highlight the elements with embedded logic complete with component and production location.",,CCI-003212 The organization employs organization-defined security safeguards to validate that the information system or system component received is genuine and has not been altered. CCI-003213 The organization defines the security safeguards to be employed to validate that the information system or system component received is genuine and has not been altered.
1230,SYSTEM AND SERVICES ACQUISITION,SA-12 (11),"PENETRATION TESTING / ANALYSIS OF ELEMENTS, PROCESSES, AND ACTORS",,,"The organization employs [Selection (one or more): organizational analysis, independent third-party analysis, organizational penetration testing, independent third-party penetration testing] of [Assignment: organization-defined supply chain elements, processes, and actors] associated with the information system, system component, or information system service.","This control enhancement addresses analysis and/or testing of the supply chain, not just delivered items. Supply chain elements are information technology products or product components that contain programmable logic and that are critically important to information system functions. Supply chain processes include, for example: (i) hardware, software, and firmware development processes; (ii) shipping/handling procedures; (iii) personnel and physical security programs; (iv) configuration management tools/measures to maintain provenance; or (v) any other programs, processes, or procedures associated with the production/distribution of supply chain elements. Supply chain actors are individuals with specific roles and responsibilities in the supply chain. The evidence generated during analyses and testing of supply chain elements, processes, and actors is documented and used to inform organizational risk management activities and decisions.",RA-5,"CCI-003214 The organization employs organizational analysis, independent third-party analysis, organizational penetration testing and/or independent third-party penetration testing of organization-defined supply chain elements, processes, and actors associated with the information system, system component, or information system service. CCI-003215 The organization defines the supply chain elements, processes, and actors associated with the information system, system component, or information system service for organizational analysis, independent third-party analysis, organizational penetration testing and/or independent third-party penetration testing."
1231,SYSTEM AND SERVICES ACQUISITION,SA-12 (12),INTER-ORGANIZATIONAL AGREEMENTS,,,"The organization establishes inter-organizational agreements and procedures with entities involved in the supply chain for the information system, system component, or information system service.","The establishment of inter-organizational agreements and procedures provides for notification of supply chain compromises. Early notification of supply chain compromises that can potentially adversely affect or have adversely affected organizational information systems, including critical system components, is essential for organizations to provide appropriate responses to such incidents.",,"CCI-003216 The organization establishes inter-organizational agreements with entities involved in the supply chain for the information system, system component, or information system service. CCI-003217 The organization establishes inter-organizational procedures with entities involved in the supply chain for the information system, system component, or information system service."
1232,SYSTEM AND SERVICES ACQUISITION,SA-12 (13),CRITICAL INFORMATION SYSTEM COMPONENTS,,,The organization employs [Assignment: organization-defined security safeguards] to ensure an adequate supply of [Assignment: organization-defined critical information system components].,"Adversaries can attempt to impede organizational operations by disrupting the supply of critical information system components or corrupting supplier operations. Safeguards to ensure adequate supplies of critical information system components include, for example: (i) the use of multiple suppliers throughout the supply chain for the identified critical components; and (ii) stockpiling of spare components to ensure operation during mission-critical times.",,CCI-003218 The organization employs organization-defined security safeguards to ensure an adequate supply of organization-defined critical information system components. CCI-003219 The organization defines the security safeguards to be employed to ensure an adequate supply of organization-defined critical information system components. CCI-003220 The organization defines the critical information system components for which organization-defined security safeguards are employed to ensure adequate supply.
1233,SYSTEM AND SERVICES ACQUISITION,SA-12 (14),IDENTITY AND TRACEABILITY,,,"The organization establishes and retains unique identification of [Assignment: organization-defined supply chain elements, processes, and actors] for the information system, system component, or information system service.","Knowing who and what is in the supply chains of organizations is critical to gaining visibility into what is happening within such supply chains, as well as monitoring and identifying high-risk events and activities. Without reasonable visibility and traceability into supply chains (i.e., elements, processes, and actors), it is very difficult for organizations to understand and therefore manage risk, and to reduce the likelihood of adverse events. Uniquely identifying acquirer and integrator roles, organizations, personnel, mission and element processes, testing and evaluation procedures, delivery mechanisms, support mechanisms, communications/delivery paths, and disposal/final disposition activities as well as the components and tools used, establishes a foundational identity structure for assessment of supply chain activities. For example, labeling (using serial numbers) and tagging (using radio-frequency identification [RFID] tags) individual supply chain elements including software packages, modules, and hardware devices, and processes associated with those elements can be used for this purpose. Identification methods are sufficient to support the provenance in the event of a supply chain issue or adverse supply chain event.",,"CCI-003221 The organization establishes unique identification of organization-defined supply chain elements, processes, and actors for the information system, system component, or information system service. CCI-003222 The organization retains unique identification of organization-defined supply chain elements, processes, and actors for the information system, system component, or information system service. CCI-003223 The organization defines the supply chain elements, processes, and actors for the information system, system component, or information system service to establish and retain unique identification."
1234,SYSTEM AND SERVICES ACQUISITION,SA-12 (15),PROCESSES TO ADDRESS WEAKNESSES OR DEFICIENCIES,,,The organization establishes a process to address weaknesses or deficiencies in supply chain elements identified during independent or organizational assessments of such elements.,"Evidence generated during independent or organizational assessments of supply chain elements (e.g., penetration testing, audits, verification/validation activities) is documented and used in follow-on processes implemented by organizations to respond to the risks related to the identified weaknesses and deficiencies. Supply chain elements include, for example, supplier development processes and supplier distribution systems.",,CCI-003224 The organization establishes a process to address weaknesses or deficiencies in supply chain elements identified during independent or organizational assessments of such elements.
1235,SYSTEM AND SERVICES ACQUISITION,SA-13,TRUSTWORTHINESS,P0,,The organization:,"This control helps organizations to make explicit trustworthiness decisions when designing, developing, and implementing information systems that are needed to conduct critical organizational missions/business functions. Trustworthiness is a characteristic/property of an information system that expresses the degree to which the system can be expected to preserve the confidentiality, integrity, and availability of the information it processes, stores, or transmits.  Trustworthy information systems are systems that are capable of being trusted to operate within defined levels of risk despite the environmental disruptions, human errors, and purposeful attacks that are expected to occur in the specified environments of operation. Trustworthy systems are important to mission/business success. Two factors affecting the trustworthiness of information systems include: (i) security functionality (i.e., the security features, functions, and/or mechanisms employed within the system and its environment of operation); and (ii) security assurance (i.e., the grounds for confidence that the security functionality is effective in its application). Developers, implementers, operators, and maintainers of organizational information systems can increase the level of assurance (and trustworthiness), for example, by employing well-defined security policy models, structured and rigorous hardware, software, and firmware development techniques, sound system/security engineering principles, and secure configuration settings (defined by a set of assurance-related security controls in Appendix E). Assurance is also based on the assessment of evidence produced during the system development life cycle. Critical missions/business functions are supported by high-impact systems and the associated assurance requirements for such systems. The additional assurance controls in Table E-4 in Appendix E (designated as optional) can be used to develop and implement high-assurance solutions for specific information systems and system components using the concept of overlays described in Appendix I. Organizations select assurance overlays that have been developed, validated, and approved for community adoption (e.g., cross-organization, governmentwide), limiting the development of such overlays on an organization-by-organization basis. Organizations can conduct criticality analyses as described in SA-14, to determine the information systems, system components, or information system services that require high-assurance solutions. Trustworthiness requirements and assurance overlays can be described in the security plans for organizational information systems.","RA-2,SA-4,SA-8,SA-14,SC-3","CCI-000748 The organization defines level of trustworthiness for the information system. CCI-000749 The organization requires that the information system meets the organization-defined level of trustworthiness. CCI-003225 The organization describes the trustworthiness required in the organization-defined information system, information system component, or information system service supporting its critical missions/business functions. CCI-003226 The organization defines the information system, information system component, or information system service supporting its critical missions/business functions in which the trustworthiness must be described. CCI-003227 The organization implements an organization-defined assurance overlay to achieve trustworthiness required to support its critical missions/business functions. CCI-003228 The organization defines an assurance overlay to be implemented to achieve trustworthiness required to support its critical missions/business functions."
1238,SYSTEM AND SERVICES ACQUISITION,SA-14,CRITICALITY ANALYSIS,P0,,"The organization identifies critical information system components and functions by performing a criticality analysis for [Assignment: organization-defined information systems, information system components, or information system services] at [Assignment: organization-defined decision points in the system development life cycle].","Criticality analysis is a key tenet of supply chain risk management and informs the prioritization of supply chain protection activities such as attack surface reduction, use of all-source intelligence, and tailored acquisition strategies. Information system engineers can conduct an end-to-end functional decomposition of an information system to identify mission-critical functions and components. The functional decomposition includes the identification of core organizational missions supported by the system, decomposition into the specific functions to perform those missions, and traceability to the hardware, software, and firmware components that implement those functions, including when the functions are shared by many components within and beyond the information system boundary. Information system components that allow for unmediated access to critical components or functions are considered critical due to the inherent vulnerabilities such components create. Criticality is assessed in terms of the impact of the function or component failure on the ability of the component to complete the organizational missions supported by the information system. A criticality analysis is performed whenever an architecture or design is being developed or modified, including upgrades.","CP-2,PL-2,PL-8,PM-1,SA-8,SA-12,SA-13,SA-15,SA-20","CCI-000750 The organization defines the list of critical information system components that require re-implementation. CCI-000751 The organization determines the organization-defined list of critical information system components that require re-implementation. CCI-000752 The organization re-implements organization-defined critical information system components. CCI-003229 The organization identifies critical information system components by performing a criticality analysis for organization-defined information systems, information system components, or information system services at organization-defined decision points in the system development life cycle. CCI-003230 The organization identifies critical information system functions by performing a criticality analysis for organization-defined information systems, information system components, or information system services at organization-defined decision points in the system development life cycle. CCI-003231 The organization defines the information systems, information system components, or information system services for which the organization identifies critical information system components and functions for criticality analysis. CCI-003232 The organization defines the decision points in the system development life cycle at which to perform a criticality analysis to identify critical information system components and functions for organization-defined information systems, information system components, or information system services."
1239,SYSTEM AND SERVICES ACQUISITION,SA-14 (1),CRITICAL COMPONENTS WITH  NO VIABLE ALTERNATIVE SOURCING,,,[Withdrawn: Incorporated into SA-20].,,,
1240,SYSTEM AND SERVICES ACQUISITION,SA-15,"DEVELOPMENT PROCESS, STANDARDS, AND TOOLS",P2,HIGH,The organization:,"Development tools include, for example, programming languages and computer-aided design (CAD) systems. Reviews of development processes can include, for example, the use of maturity models to determine the potential effectiveness of such processes. Maintaining the integrity of changes to tools and processes enables accurate supply chain risk assessment and mitigation, and requires robust configuration control throughout the life cycle (including design, development, transport, delivery, integration, and maintenance) to track authorized changes and prevent unauthorized changes.","SA-3,SA-8","CCI-003233 The organization requires the developer of the information system, system component, or information system service to follow a documented development process. CCI-003241 The organization reviews the development process in accordance with organization-defined frequency to determine if the development process selected and employed can satisfy organization-defined security requirements. CCI-003242 The organization reviews the development standards in accordance with organization-defined frequency to determine if the development standards selected and employed can satisfy organization-defined security requirements. CCI-003243 The organization reviews the development tools in accordance with organization-defined frequency to determine if the development tools selected and employed can satisfy organization-defined security requirements. CCI-003244 The organization reviews the development tool options/configurations in accordance with organization-defined frequency to determine if the development tool options/configurations selected and employed can satisfy organization-defined security requirements. CCI-003245 The organization defines the frequency on which to review the development process, standards, tools, and tool options/configurations to determine if the process, standards, tools, and tool options/configurations selected and employed can satisfy organization-defined security requirements. CCI-003246 The organization defines the security requirements that must be satisfied by conducting a review of the development process, standards, tools, and tool options/configurations."
